"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179"
"2015-06-15",8.97,11.36,17.75,378.07999,16.13
"2015-06-16",8.78,11.43,17.41,372.10001,16.02
"2015-06-17",8.86,11.44,17.610001,374.45999,16.09
"2015-06-18",8.48,11.57,17.540001,373.56,16.15
"2015-06-19",7.99,11.54,17.42,367.76999,15.95
"2015-06-22",,11.61,17.629999,373.35999,16.18
"2015-06-23",,11.62,,,16.32
"2015-06-24",8.41,11.53,18.02,382.69,16.38
"2015-06-25",8.09,11.53,17.870001,377.63,16.24
"2015-06-26",7.44,11.4,17.459999,367.29999,15.88
"2015-06-29",7.21,11.11,16.98,357.04001,15.37
"2015-06-30",7.72,11.15,17.290001,364.04001,15.64
"2015-07-01",,11.2,17.27,,15.54
"2015-07-02",7.25,11.21,17.16,361.85999,15.64
"2015-07-03",6.96,11.21,16.860001,354.12,15.36
"2015-07-06",7.27,11.13,16.16,342.75,14.83
"2015-07-07",7.14,11.15,15.6,329.98999,14.13
"2015-07-08",6.56,10.97,14.52,311.45001,13.57
"2015-07-09",7.06,11.01,15.55,326.92999,14.45
"2015-07-10",7.51,11.16,16.030001,336.82001,14.88
"2015-07-13",7.66,11.28,16.34,343.03,15.2
"2015-07-14",7.4,11.36,16.24,339.54999,15.18
"2015-07-15",7.11,11.31,16.030001,335.17999,14.95
"2015-07-16",7.17,11.43,16.15,338.51001,15.08
"2015-07-17",7.43,11.5,16.34,341.82001,15.27
"2015-07-20",7.43,11.53,16.33,341.38,15.26
"2015-07-21",7.47,11.54,16.5,346.42001,15.37
"2015-07-22",7.42,11.45,16.33,342.60001,15.23
"2015-07-23",7.61,11.47,16.440001,343.20001,15.35
"2015-07-24",7.48,11.45,16.24,338.76999,15.12
"2015-07-27",6.86,11.29,15.57,322.76999,14.5
"2015-07-28",6.89,11.39,15.46,323.38,14.53
"2015-07-29",7.09,11.43,15.55,326.09,14.63
"2015-07-30",6.86,11.53,15.47,322.95999,14.48
"2015-07-31",6.89,11.47,15.58,324.89999,14.58
"2015-08-03",6.92,11.39,15.43,320.35999,14.31
"2015-08-04",7.14,11.35,15.44,321.73999,14.46
"2015-08-05",7,11.5,15.53,323.63,14.59
"2015-08-06",6.94,11.35,15.46,320.34,14.38
"2015-08-07",7.08,11.35,15.61,323.39999,14.49
"2015-08-10",7.41,11.51,15.77,328.41,14.78
"2015-08-11",7.23,11.38,15.7,324.07001,14.51
"2015-08-12",7,11.36,15.27,315.79001,14.1
"2015-08-13",7.03,11.34,15.38,317.01001,14.22
"2015-08-14",7.05,11.38,15.4,317.26999,14.25
"2015-08-17",7.01,11.48,15.29,315.01001,14.11
"2015-08-18",6.62,11.39,15.03,310.60999,13.85
"2015-08-19",6.76,11.29,14.84,306.76999,13.52
"2015-08-20",6.52,10.9,14.53,299.03,13.25
"2015-08-21",6.18,10.61,14.18,295.10001,12.95
"2015-08-24",5.63,10.22,12.97,271.31,12.14
"2015-08-25",5.26,10.17,13.26,284.29999,12.65
"2015-08-26",5.31,10.6,13.11,278.54001,12.27
"2015-08-27",5.63,10.87,13.77,293.31,12.9
"2015-08-28",5.87,10.9,13.71,290.25,12.89
"2015-08-31",5.87,10.76,13.66,288.34,12.76
"2015-09-01",5.76,10.45,13.27,281,12.42
"2015-09-02",5.78,10.65,13.09,279.06,12.34
"2015-09-03",,10.7,13.1,,12.52
"2015-09-04",,10.55,13,276.91,12.26
"2015-09-07",5.6,10.55,12.94,276.19,12.25
"2015-09-08",5.79,10.87,13.43,285.82001,12.61
"2015-09-09",5.91,10.73,13.99,296.04001,12.94
"2015-09-10",5.86,10.81,13.75,289.72,12.78
"2015-09-11",5.85,10.86,13.74,286.5,12.73
"2015-09-14",5.67,10.81,13.73,285.64002,12.66
"2015-09-15",5.47,10.95,13.64,286.01999,12.71
"2015-09-16",5.79,11.01,13.97,293.04999,13.03
"2015-09-17",5.67,11.01,14,292.92999,13.02
"2015-09-18",5.72,10.89,14.15,293.03,13.08
"2015-09-21",5.87,10.94,14.03,294.04001,13.07
"2015-09-22",5.89,10.75,14.03,292.32999,12.9
"2015-09-23",5.77,10.74,13.67,285.89999,12.75
"2015-09-24",5.82,10.68,13.54,282.76001,12.53
"2015-09-25",5.71,10.65,13.55,285.35999,12.66
"2015-09-28",,10.33,13.37,,12.45
"2015-09-29",5.72,10.32,13.13,278.48001,12.37
"2015-09-30",5.78,10.56,13.33,283.47,12.57
"2015-10-01",,10.57,13.33,,12.59
"2015-10-02",,10.74,13.65,288.88,12.89
"2015-10-05",,10.92,14.05,296.98999,13.25
"2015-10-06",,10.88,14.05,296.54999,13.27
"2015-10-07",,10.95,14.59,304.98999,13.48
"2015-10-08",5.97,10.98,14.44,301.69,13.46
"2015-10-09",6.04,11.03,14.53,303.60999,13.56
"2015-10-12",6.25,11.06,14.8,306.45001,13.6
"2015-10-13",6.26,10.99,14.71,305.34,13.62
"2015-10-14",6.16,11.01,14.58,303.09,13.43
"2015-10-15",6.31,11.2,14.82,308.51999,13.73
"2015-10-16",6.37,11.26,14.93,311.67999,13.85
"2015-10-19",6.36,11.28,15.01,311.12,13.82
"2015-10-20",6.46,11.23,14.95,310.82999,13.83
"2015-10-21",,11.11,14.94,,13.78
"2015-10-22",6.33,11.39,14.85,311.07001,13.83
"2015-10-23",6.46,11.52,15.07,314.07999,14.02
"2015-10-26",6.54,11.49,15.09,314.20999,14
"2015-10-27",6.57,11.45,15.05,313.23001,13.94
"2015-10-28",6.46,11.62,14.83,311.13,13.91
"2015-10-29",6.47,11.49,14.8,306.62,13.75
"2015-10-30",6.51,11.53,14.68,305.07999,13.68
"2015-11-02",6.36,11.62,14.59,304.51999,13.68
"2015-11-03",6.33,11.62,14.66,305.38,13.78
"2015-11-04",6.64,11.69,15.04,311.95999,14.01
"2015-11-05",6.69,11.66,15.05,313.56,14.06
"2015-11-06",6.85,11.71,14.97,312.07001,14.07
"2015-11-09",6.91,11.58,14.9,309.20001,13.9
"2015-11-10",6.91,11.54,14.65,304.97,13.75
"2015-11-11",6.95,11.57,14.62,304.04999,13.74
"2015-11-12",6.89,11.47,14.83,307.63,13.95
"2015-11-13",6.77,11.28,14.48,300.72,13.67
"2015-11-16",6.85,11.41,14.26,298.42001,13.54
"2015-11-17",6.79,11.43,14.48,300.04001,13.71
"2015-11-18",6.74,11.57,14.43,301.54999,13.64
"2015-11-19",6.89,11.6,14.64,304.76001,13.78
"2015-11-20",6.9,11.66,14.78,309.64999,13.94
"2015-11-23",6.86,11.59,14.76,307.59,13.88
"2015-11-24",6.9,11.63,14.66,305.22,13.8
"2015-11-25",6.97,11.66,14.7,306.35999,13.84
"2015-11-26",6.91,11.66,14.67,305.82999,13.85
"2015-11-27",6.52,11.7,14.34,298.31,13.56
"2015-11-30",6.57,11.72,14.38,299.31,13.53
