"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"490",15.86,24.79,9.09,27.14,20.36
"491",15.86,24.8,9.09,27.17,20.57
"492",15.86,24.82,9.1,27.24,20.58
"493",15.87,24.81,9.1,27.26,20.69
"494",15.87,24.84,9.09,27.22,20.62
"495",15.87,24.84,9.1,27.24,20.68
"496",15.88,24.84,9.09,27.27,20.74
"497",15.88,24.84,9.09,27.28,20.69
"498",15.88,24.84,9.09,27.31,20.59
"499",15.88,24.86,9.09,27.29,20.6
"500",15.89,24.96,9.1,27.31,20.58
"501",15.89,24.95,9.1,27.34,20.61
"502",15.88,24.79,9.1,27.23,20.35
"503",15.87,24.86,9.09,27.14,20.44
"504",15.87,24.9,9.09,27.21,20.29
"505",15.87,24.87,9.08,27.26,20.15
"506",15.87,24.89,9.08,27.24,20
"507",15.87,24.85,9.07,27.23,20.02
"508",15.86,24.92,9.05,27.25,19.7
"509",15.85,24.79,9.04,27.21,19.69
"510",15.85,24.8,9.04,27.12,19.92
"511",15.85,24.79,9.04,27.13,20.06
"512",15.86,24.87,9.05,27.16,20.1
"513",15.85,24.89,9.05,27.24,19.96
"514",15.85,24.88,9.04,27.26,19.92
"515",15.85,24.83,9.04,27.22,19.92
"516",15.85,24.81,9.04,27.17,19.95
"517",15.85,24.84,9.045,27.18,19.89
"518",15.85,24.81,9.05,27.19,19.92
"519",15.86,24.78,9.04,27.18,19.97
"520",15.86,24.78,9.04,27.13,19.84
"521",15.85,24.81,9.04,27.15,19.91
"522",15.86,24.85,9.05,27.24,19.7
"523",15.86,24.84,9.04,27.22,19.81
"524",15.86,24.88,9.03,27.28,19.56
"525",15.85,24.85,9.02,27.25,19.33
"526",15.85,24.83,9.02,27.29,19.26
"527",15.85,24.77,9.02,27.26,19.35
"528",15.84,24.81,9.01,27.24,19.32
"529",15.84,24.86,9.01,27.3,19.33
"530",15.83,24.8,8.99,27.32,19.35
"531",15.82,24.8,8.99,27.33,19.01
"532",15.82,24.795,8.97,27.31,19.11
"533",15.82,24.79,8.97,27.29,19.14
"534",15.81,24.76,8.96,27.32,18.97
"535",15.8,24.74,8.96,27.34,18.98
"536",15.82,24.78,8.96,27.3,19.41
"537",15.81,24.79,8.96,27.33,19.23
"538",15.81,24.82,8.96,27.37,19.34
"539",15.82,24.85,8.96,27.37,19.24
"540",15.82,24.88,8.96,27.41,19.35
"541",15.82,24.96,8.95,27.54,19.73
"542",15.83,24.9,8.96,27.59,19.72
"543",15.82,24.94,8.95,27.58,19.4
"544",15.82,24.89,8.95,27.6,19.29
"545",15.82,24.92,8.95,27.59,19.25
"546",15.82,24.91,8.94,27.58,19.16
"547",15.8,24.92,8.94,27.62,18.91
"548",15.78,24.84,8.92,27.59,18.74
"549",15.77,24.88,8.91,27.57,18.67
"550",15.74,24.76,8.91,27.61,18.39
"551",15.73,24.72,8.9,27.54,18.61
"552",15.76,24.72,8.9,27.51,18.85
"553",15.76,24.72,8.9,27.52,18.74
"554",15.76,24.74,8.89,27.51,18.84
"555",15.77,24.8,8.91,27.6,18.83
"556",15.77,24.8,8.91,27.65,18.73
"557",15.77,24.82,8.9,27.66,18.96
"558",15.77,24.84,8.9,27.63,18.86
"559",15.77,24.82,8.9,27.76,18.82
"560",15.77,24.88,8.89,27.74,18.84
"561",15.78,24.83,8.89,27.74,18.97
"562",15.79,24.89,8.89,27.79,19.03
"563",15.8,24.82,8.89,27.82,19.33
"564",15.81,24.88,8.91,27.73,19.36
"565",15.82,24.93,8.92,27.75,19.37
"566",15.83,24.91,8.92,27.76,19.52
"567",15.82,24.9,8.93,27.74,19.51
"568",15.82,24.95,8.92,27.88,19.37
"569",15.82,24.91,8.93,27.77,19.55
"570",15.82,24.91,8.93,27.78,19.4
"571",15.84,24.94,8.94,27.72,19.64
