"","LU0261952922","LU0811022283","LU0249332452","LU0170475312","LU0029872446"
"1118",10.9897,8.391,133.46,30.73,8.44
"1119",10.9902,8.374,133.32,30.75,8.42
"1120",10.9915,8.359,133.01,30.69,8.42
"1121",10.992,8.343,132.85,30.73,8.41
"1122",10.9924,8.335,132.85,30.82,8.4
"1123",10.9929,8.329,133.28,30.83,8.41
"1124",10.9934,8.334,133.71,30.85,8.42
"1125",10.9947,8.339,134.17,30.88,8.43
"1126",10.9952,8.3365,133.985,30.94,8.42
"1127",10.9956,8.334,133.8,30.8,8.42
"1128",10.9961,8.326,134.11,30.52,8.43
"1129",10.9966,8.324,134.04,30.49,8.44
"1130",10.9979,8.311,134.14,30.38,8.44
"1131",10.9984,8.294,133.59,30.3,8.43
"1132",10.9989,8.268,133.36,30.27,8.41
"1133",10.9993,8.272,133.485,30.31,8.43
"1134",10.9998,8.276,133.61,30.16,8.43
"1135",11.0012,8.287,133.22,29.98,8.42
"1136",11.0017,8.278,132.93,30.18,8.4
"1137",11.0022,8.273,132.82,30.19,8.38
"1138",11.0027,8.264,132.4,30.16,8.38
"1139",11.0032,8.258,132.63,29.96,8.4
"1140",11.0045,8.262,132.565,30.06,8.4
"1141",11.005,8.266,132.5,30.17,8.4
"1142",11.0055,8.272,132.93,30.13,8.42
"1143",11.006,8.284,133.01,30.01,8.43
"1144",11.0065,8.296,133.33,30.09,8.44
"1145",11.008,8.302,133.43,30.1,8.44
"1146",11.0085,8.313,134,29.84,8.47
"1147",11.009,8.327,134.03,29.8,8.46
"1148",11.0095,8.321,134.67,29.78,8.45
"1149",11.0099,8.296,133.89,29.89,8.45
"1150",11.0113,8.295,134.02,29.91,8.44
"1151",11.0118,8.291,133.98,29.66,8.45
"1152",11.0123,8.285,132.87,29.73,8.44
"1153",11.0128,8.279,132.78,29.39,8.44
"1154",11.0133,8.281,132.89,29.69,8.44
"1155",11.0147,8.28,133.09,29.56,8.43
"1156",11.0151,8.28,133.39,29.65,8.43
"1157",11.0156,8.284,133.75,29.55,8.43
"1158",11.0161,8.28,134.26,29.44,8.44
"1159",11.0165,8.287,134.29,29.49,8.44
"1160",11.018,8.288,134.2,29.6,8.44
"1161",11.0185,8.287,134.57,29.59,8.45
"1162",11.019,8.278,134.18,29.68,8.44
"1163",11.0195,8.274,134.15,29.55,8.44
"1164",11.02,8.268,134.19,29.59,8.44
"1165",11.0215,8.271,134.13,29.56,8.44
"1166",11.022,8.269,134.1,29.59,8.44
"1167",11.0225,8.267,134.68,29.44,8.45
"1168",11.023,8.254,134.47,29.49,8.45
"1169",11.0235,8.242,134.63,29.33,8.45
"1170",11.025,8.24,134.94,29.37,8.45
"1171",11.0255,8.237,135.13,29.5,8.46
"1172",11.026,8.231,134.83,29.52,8.46
"1173",11.0265,8.234,135.11,29.6,8.46
"1174",11.027,8.223,135.19,29.63,8.47
"1175",11.0285,8.216,135.05,29.71,8.46
"1176",11.029,8.22,135,30.02,8.46
"1177",11.0295,8.22,134.95,30.03,8.47
"1178",11.03,8.22,135.05,30.17,8.46
"1179",11.0305,8.225,135.19,30.2,8.47
"1180",11.032,8.232,134.96,30.17,8.47
"1181",11.0325,8.237,134.92,30.3,8.47
"1182",11.033,8.237,134.75,30.32,8.46
"1183",11.0335,8.244,135.18,30.14,8.47
"1184",11.034,8.246,134.74,30.09,8.46
"1185",11.0355,8.248,134.23,30.22,8.44
"1186",11.036,8.264,134.3,30.25,8.45
"1187",11.0365,8.259,134.38,30.37,8.45
"1188",11.037,8.277,134.08,30.49,8.44
"1189",11.0375,8.294,134.13,30.52,8.45
"1190",11.039,8.299,133.62,30.54,8.44
"1191",11.0395,8.309,134.09,30.52,8.45
"1192",11.04,8.303,133.49,30.59,8.45
"1193",11.0405,8.295,133.41,30.63,8.45
"1194",11.041,8.291,133.8,30.71,8.46
"1195",11.0426,8.298,133.98,30.7,8.47
"1196",11.0431,8.3,133.88,30.65,8.46
"1197",11.0436,8.308,133.92,30.56,8.46
"1198",11.0441,8.317,134.04,30.47,8.47
"1199",11.0446,8.324,134.55,30.21,8.48
"1200",11.0461,8.335,134.4,29.89,8.48
"1201",11.0466,8.315,134.43,30.21,8.47
"1202",11.0471,8.312,134.485,29.93,8.48
"1203",11.0476,8.309,134.54,30,8.47
"1204",11.0481,8.311,134.44,29.87,8.48
"1205",11.0496,8.319,134.7,29.73,8.49
"1206",11.0501,8.319,134.42,29.62,8.48
"1207",11.0506,8.326,134.42,29.64,8.49
"1208",11.0511,8.32,134.38,29.52,8.49
"1209",11.0516,8.319,134.33,29.47,8.49
"1210",11.0532,8.326,134.17,29.5,8.48
"1211",11.0537,8.327,133.86,29.32,8.47
"1212",11.0542,8.326,133.51,29.22,8.47
"1213",11.0547,8.324,133.65,28.71,8.48
"1214",11.0552,8.327,133.59,28.95,8.48
"1215",11.0567,8.32,133.85,28.72,8.48
"1216",11.0572,8.327,133.71,28.63,8.47
"1217",11.0577,8.285,133.2,28.51,8.47
"1218",11.0582,8.282,133.6,28.57,8.48
"1219",11.0587,8.278,133.04,28.85,8.46
"1220",11.0602,8.273,132.84,28.7,8.47
"1221",11.0607,8.261,132.69,28.71,8.45
"1222",11.0612,8.264,132.78,28.72,8.46
"1223",11.0617,8.265,132.74,28.69,8.46
"1224",11.0622,8.265,132.54,28.86,8.45
"1225",11.0636,8.267,132.4,28.8,8.45
"1226",11.0641,8.264,132.04,28.88,8.43
"1227",11.0646,8.256,131.68,28.97,8.42
"1228",11.0651,8.259,132.07,29,8.43
"1229",11.0657,8.228,132.5,29.17,8.43
"1230",11.0671,8.234,132.13,29.07,8.42
"1231",11.0676,8.233,131.99,29.03,8.42
"1232",11.0681,8.24,132.22,29.13,8.43
"1233",11.0686,8.257,132.2,29.37,8.44
"1234",11.0692,8.275,132.23,29.32,8.44
"1235",11.0707,8.278,131.9,29.51,8.43
"1236",11.0712,8.287,132.47,29.62,8.44
"1237",11.0718,8.283,132.09,29.87,8.41
"1238",11.0723,8.262,131.22,29.74,8.38
"1239",11.0728,8.241,130.48,29.94,8.37
"1240",11.0744,8.227,130.92,30.05,8.37
"1241",11.075,8.226,130.96,30.01,8.37
"1242",11.0755,8.228,130.63,29.82,8.38
"1243",11.076,8.23,130.49,29.74,8.39
"1244",11.0766,8.233,130.7,29.85,8.38
"1245",11.0782,8.24,130.87,29.86,8.38
"1246",11.0787,8.238,131.12,30.11,8.38
"1247",11.0792,8.236,131.24,30.34,8.37
"1248",11.0798,8.226,131.04,30.12,8.37
"1249",11.0803,8.222,130.88,30.13,8.37
"1250",11.0819,8.22,131.13,30.26,8.37
"1251",11.0824,8.224,131.3,30.26,8.37
"1252",11.083,8.22,131.5,30.08,8.38
"1253",11.0836,8.211,131.34,30.26,8.38
"1254",11.0841,8.209,132.06,30.2,8.39
"1255",11.0857,8.206,132.05,30.06,8.39
"1256",11.0863,8.203,132.15,30.16,8.38
"1257",11.0868,8.18,131.69,30.12,8.37
"1258",11.0873,8.18,131.28,30.11,8.38
"1259",11.0879,8.18,130.87,30.44,8.36
"1260",11.0895,8.167,131.05,30.39,8.36
"1261",11.09,8.168,130.86,30.49,8.36
"1262",11.0906,8.171,130.89,30.51,8.37
"1263",11.0911,8.168,130.54,30.54,8.35
"1264",11.0917,8.178,131.07,30.51,8.36
"1265",11.0933,8.181,131.53,30.47,8.37
"1266",11.0939,8.182,130.89,30.25,8.37
"1267",11.0944,8.18,130.76,30.26,8.38
"1268",11.095,8.191,131.26,30.31,8.39
"1269",11.0955,8.189,131.3,30.24,8.41
"1270",11.0971,8.191,131.12,30.11,8.41
"1271",11.0976,8.192,130.67,30.21,8.4
"1272",11.0982,8.179,130.68,30.24,8.4
"1273",11.0987,8.178,130.41,30.23,8.4
"1274",11.0993,8.176,130.37,30.18,8.41
"1275",11.1009,8.171,130.1,29.97,8.4
"1276",11.1015,8.18,129.84,30.15,8.41
"1277",11.102,8.177,129.64,30.13,8.42
"1278",11.1026,8.186,130.32,30.26,8.43
"1279",11.1031,8.199,130.29,30.33,8.44
"1280",11.1048,8.196,131.03,30.38,8.45
"1281",11.1055,8.21,132.07,30.13,8.46
"1282",11.1061,8.22,131.91,30.17,8.46
"1283",11.1066,8.23,132.51,30.03,8.47
"1284",11.1072,8.222,132.58,30,8.49
"1285",11.109,8.229,133.63,29.94,8.49
"1286",11.1095,8.225,132.77,30.08,8.48
"1287",11.1101,8.224,132.33,30.22,8.47
"1288",11.1107,8.229,132.24,30.21,8.47
"1289",11.1113,8.242,132.54,30.16,8.47
"1290",11.113,8.249,132.47,30.15,8.48
"1291",11.1136,8.265,132.47,30.13,8.5
"1292",11.1142,8.28,132.36,30.13,8.51
"1293",11.1148,8.298,131.96,30.14,8.5
"1294",11.1154,8.292,131.51,30.17,8.5
"1295",11.1172,8.2975,132.04,29.98,8.51
"1296",11.1183,8.30025,131.71,30.17,8.49
"1297",11.1189,8.303,131.38,30.21,8.5
"1298",11.1195,8.301,131.63,30.12,8.52
"1299",11.1213,8.31,131.19,30.12,8.53
"1300",11.1225,8.324,131.52,30.3,8.54
"1301",11.1231,8.325,132.25,30.02,8.57
"1302",11.1237,8.329,132.06,30.43,8.55
"1303",11.1255,8.34,132.21,30.45,8.55
"1304",11.1261,8.336,132.03,30.53,8.55
"1305",11.1267,8.367,132.54,30.4,8.55
"1306",11.1273,8.371,132.41,30.58,8.54
"1307",11.128,8.376,132.46,30.6,8.56
"1308",11.1298,8.377,132.3,30.64,8.56
"1309",11.1304,8.384,132.33,30.74,8.56
"1310",11.131,8.381,131.86,30.81,8.55
"1311",11.1316,8.398,130.77,30.78,8.55
"1312",11.1323,8.395,130.8,30.91,8.54
"1313",11.1341,8.399,130.88,30.86,8.54
"1314",11.1348,8.405,130.84,30.75,8.55
"1315",11.1354,8.414,130.95,30.88,8.54
"1316",11.136,8.437,131.35,30.95,8.55
"1317",11.1366,8.447,131.13,30.91,8.54
"1318",11.1385,8.464,131.27,30.87,8.55
"1319",11.1392,8.468,131.49,30.88,8.56
"1320",11.1398,8.467,132.02,30.75,8.58
"1321",11.1405,8.494,132.34,30.9,8.59
"1322",11.1411,8.516,132.14,31.07,8.58
"1323",11.143,8.513,131.95,31.17,8.57
"1324",11.1436,8.514,132.09,31.14,8.58
"1325",11.1443,8.52,132.26,31.19,8.59
"1326",11.1449,8.527,132.44,31.12,8.59
"1327",11.1456,8.536,132.47,31.13,8.59
"1328",11.1475,8.533,132.4,31.12,8.59
"1329",11.1481,8.534,132.15,31.17,8.59
"1330",11.1488,8.533,132.02,31.21,8.58
"1331",11.1494,8.552,132.46,31.22,8.59
"1332",11.1501,8.555,132.43,31.19,8.6
