"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2016-05-09",6.23,14.57,17.2675,157.47,45.25
"2016-05-10",6.23,14.56,17.2603,157.42,45.66
"2016-05-11",6.24,14.66,17.248,157.55,45.93
"2016-05-12",6.24,14.62,17.237,158.19,45.98
"2016-05-13",6.22,14.7,17.222,158.33,45.17
"2016-05-16",NA,NA,17.222,NA,NA
"2016-05-17",6.23,14.81,17.2176,159.08,45.35
"2016-05-18",6.21,14.89,17.2229,158.75,45.39
"2016-05-19",6.2,14.88,17.185,155.99,45.15
"2016-05-20",6.2,15.05,17.1914,153.85,45.19
"2016-05-23",6.22,15.23,17.1935,153.18,45.6
"2016-05-24",6.24,15.35,17.1948,151.63,45.24
"2016-05-25",6.29,15.6,17.2168,155.26,45.2
"2016-05-26",6.31,15.54,17.2352,156.89,45.24
"2016-05-27",6.31,15.7,17.265,159.72,45.54
"2016-05-30",NA,15.75,17.2583,159.92,45.46
"2016-05-31",6.33,15.73,17.2577,159.5,46.07
"2016-06-01",6.33,15.82,17.2718,159.47,46.1
"2016-06-02",6.33,15.77,17.2644,160.8,45.6
"2016-06-03",6.34,15.58,17.2996,159.07,45.89
"2016-06-06",6.36,15.65,17.3346,160,46.44
"2016-06-07",6.37,15.74,17.3378,161.26,46.36
"2016-06-08",6.39,15.71,17.3625,161.74,46.76
"2016-06-09",6.39,15.76,17.3897,161.43,46.74
"2016-06-10",6.37,15.66,17.3996,160.58,46.62
"2016-06-13",6.35,15.59,17.382,158.83,45.33
"2016-06-14",6.33,15.61,17.3397,158.97,44.89
"2016-06-15",6.31,15.62,17.3328,160.95,44.77
"2016-06-16",6.29,15.52,17.323,160.22,44.3
"2016-06-17",6.3,15.41,17.3261,161.36,44.87
"2016-06-20",6.33,15.54,17.3278,161.62,45.76
"2016-06-21",6.34,15.73,17.3431,161.66,45.96
"2016-06-22",6.35,15.59,17.3549,161.18,45.49
"2016-06-23",NA,NA,17.3549,NA,NA
"2016-06-24",6.33,15.6,17.2712,159.35,43.86
"2016-06-27",6.22,15.25,17.2623,160.9,44.82
"2016-06-28",6.22,15.27,17.2647,162.56,44.46
"2016-06-29",6.25,15.49,17.3238,164.63,45.03
"2016-06-30",6.3,15.66,17.3423,166.31,44.89
"2016-07-01",6.35,15.76,17.3877,168.09,45.16
"2016-07-04",NA,15.73,17.4322,170.52,45.5
"2016-07-05",6.34,15.59,17.4337,170.02,45.09
"2016-07-06",6.33,15.56,17.4558,169.69,44.82
