"","LU0231455378","LU0348766576","LU0476943617","LU0171273575","LU0275062080"
"2018-06-05",85.36,53.4227,11.83,12.36,10
"2018-06-06",85.43,54.197,11.91,12.37,9.98
"2018-06-07",85.41,54.5664,11.84,12.34,9.98
"2018-06-08",85.37,54.4029,11.72,12.22,10
"2018-06-11",85.39,54.6756,11.73,12.23,9.99
"2018-06-12",85.4,54.8694,11.8,12.36,9.98
"2018-06-13",85.37,54.7233,11.73,12.29,9.99
"2018-06-14",85.36,54.7639,11.62,12.27,9.99
"2018-06-15",85.44,54.6868,11.51,12.17,10
"2018-06-18",85.4,54.3963,11.42,,10.01
"2018-06-19",85.25,53.651,11.17,11.82,10.01
"2018-06-20",85.05,53.8212,11.19,11.86,10
"2018-06-21",85.14,53.4988,11.09,11.73,9.99
"2018-06-22",85.11,53.7892,11.14,11.78,9.98
"2018-06-25",85.23,53.46,11.01,11.6,9.99
"2018-06-26",85.1,53.4395,10.92,11.45,9.98
"2018-06-27",85.03,52.5787,10.8,11.21,9.99
"2018-06-28",84.93,52.1833,10.74,11.07,9.98
"2018-06-29",84.67,52.8971,10.93,11.28,9.98
"2018-07-02",84.73,52.7993,10.86,,9.98
"2018-07-03",84.51,53.2292,10.81,10.99,9.96
"2018-07-04",84.58,53.3987,10.77,10.92,9.97
"2018-07-05",84.68,53.0502,10.73,10.89,9.95
"2018-07-06",84.79,53.2441,10.76,10.92,9.95
"2018-07-09",84.96,53.8731,10.87,11.22,9.95
"2018-07-10",85.19,54.2029,10.93,11.21,9.95
"2018-07-11",84.97,54.557,10.8,11.02,9.95
"2018-07-12",84.87,54.5306,10.77,11.19,9.94
"2018-07-13",84.96,54.634,10.79,11.19,9.96
"2018-07-16",85.1,53.5855,10.72,11.2,9.95
"2018-07-17",85.1,53.9916,10.68,11.1,9.95
"2018-07-18",85.1,53.7761,10.65,11.01,9.95
"2018-07-19",85.13,53.175,10.6,10.96,9.99
"2018-07-20",85.11,53.4486,10.7,11.08,9.98
"2018-07-23",85.21,53.6129,10.68,11.17,9.97
"2018-07-24",85.23,54.0795,10.79,11.26,9.99
"2018-07-25",85.25,54.2727,10.97,11.33,10.04
"2018-07-26",85.36,54.1248,10.93,11.18,10.02
"2018-07-27",85.5,54.4039,10.94,11.08,10.03
"2018-07-30",85.6,54.7809,10.91,11.06,10.03
"2018-07-31",85.63,55.0122,10.9,11.05,10.05
"2018-08-01",85.67,55.349,10.96,10.94,10.04
"2018-08-02",85.65,55.201,10.77,10.71,10.04
"2018-08-03",85.56,55.4026,10.81,10.54,10.04
"2018-08-06",85.56,,10.83,10.49,10.06
"2018-08-07",85.7,55.1511,10.92,10.76,10.06
"2018-08-08",85.81,55.021,10.95,10.62,10.06
"2018-08-09",85.73,54.9252,11,10.84,10.07
"2018-08-10",85.64,54.5649,10.9,10.79,10.12
"2018-08-13",85.33,53.6094,10.7,10.7,10.09
"2018-08-14",85.13,53.8759,10.58,10.67,10.08
"2018-08-15",85.23,,10.48,10.41,10.09
"2018-08-16",85.12,53.4551,10.4,10.41,10.07
"2018-08-17",85.32,,10.44,10.33,10.09
"2018-08-20",85.36,54.6695,10.57,10.4,10.1
"2018-08-21",85.41,54.6546,10.72,10.58,10.1
